password,length,has_upper,has_lower,has_number,has_special,score
8mzwUraI,8,True,True,True,False,4
dzE2Icxi7,9,True,True,True,False,4
sYkpb07j%wu3,12,True,True,True,True,5
uAqMNh,6,True,True,False,False,2
AjC4NVep,8,True,True,True,False,4
M04GD8H@6Zt,11,True,True,True,True,5
ngHMNyk,7,True,True,False,False,2
UPedvO7Lx9,10,True,True,True,False,4
$ONStEDehe,10,True,True,False,True,4
UY#sc,5,True,True,False,True,3
q7U0tYycc@nW,12,True,True,True,True,5
5F0d@2cpY0,10,True,True,True,True,5
U%cXR0stXKjQ,12,True,True,True,True,5
rOgMUotU,8,True,True,False,False,3
XEuU!cs,7,True,True,False,True,3
i88cQ%,6,True,True,True,True,4
mcbrQ,5,True,True,False,False,2
t8an9t!s$Q,10,True,True,True,True,5
IL3Tdo,6,True,True,True,False,3
%aeiOiaF1e,10,True,True,True,True,5
niMm0!bIg,9,True,True,True,True,5
LNGgxkAX,8,True,True,False,False,3
6xH3OG6cO@,10,True,True,True,True,5
g#@33Kr7MZrU,12,True,True,True,True,5
zTq0NB,6,True,True,True,False,3
$Rjdug,6,True,True,False,True,3
0bIyzdd,7,True,True,True,False,3
9M$WbLM2j0,10,True,True,True,True,5
jw8CfZAY3zi3,12,True,True,True,False,4
jzR9Ua4z4YX,11,True,True,True,False,4
qYOdi,5,True,True,False,False,2
@7HTLmua,8,True,True,True,True,5
ZJ0IBxsF3J%S,12,True,True,True,True,5
iRyLwl,6,True,True,False,False,2
Lktjgqq,7,True,True,False,False,2
l4LxjB!$,8,True,True,True,True,5
Ypi!69VaAWqy,12,True,True,True,True,5
kLWFuzKtt5,10,True,True,True,False,4
n3UOQcb,7,True,True,True,False,3
x9cnH5u,7,True,True,True,False,3
yi2BBSQzJBh9,12,True,True,True,False,4
tNlec6WP,8,True,True,True,False,4
%B7X@CW3,8,True,False,True,True,4
%1j4BK,6,True,True,True,True,4
zixkEX7,7,True,True,True,False,3
HHo#e0v9,8,True,True,True,True,5
A8ggSjxLNS,10,True,True,True,False,4
xbOKWQOXmsRi,12,True,True,False,False,3
HEIBLEH,7,True,False,False,False,1
gzPHVP0ZQO,10,True,True,True,False,4
1#EMB%ef1f,10,True,True,True,True,5
@YDaL,5,True,True,False,True,3
US@jH,5,True,True,False,True,3
!lzAa,5,True,True,False,True,3
7u3MIqT3Xs,10,True,True,True,False,4
#FYDj,5,True,True,False,True,3
llYfH%V#j,9,True,True,False,True,4
$QeE4Uic%e,10,True,True,True,True,5
TKO#L,5,True,False,False,True,2
IyeNskK$LiI,11,True,True,False,True,4
EaxQUIDEl$,10,True,True,False,True,4
7!dy2RD9Q,9,True,True,True,True,5
Xb2y1,5,True,True,True,False,3
s7a9$c#t,8,False,True,True,True,4
MR278varsO#L,12,True,True,True,True,5
@zAJk,5,True,True,False,True,3
srdiT#,6,True,True,False,True,3
aNktyW,6,True,True,False,False,2
KVSFQ,5,True,False,False,False,1
A5cr22j4uUmR,12,True,True,True,False,4
b75g#DH,7,True,True,True,True,4
M0#wSr4kly,10,True,True,True,True,5
fshcg3U,7,True,True,True,False,3
#lZIX%,6,True,True,False,True,3
tTcTQKs2,8,True,True,True,False,4
j%SOYCPD5,9,True,True,True,True,5
CQWvosEPjX6S,12,True,True,True,False,4
4qmG7iLG,8,True,True,True,False,4
RU#$X%a3,8,True,True,True,True,5
gl1rGnsGGPE,11,True,True,True,False,4
umc!3wubCN,10,True,True,True,True,5
EDZuKpuC@5YH,12,True,True,True,True,5
SAYUIp#fWDUK,12,True,True,False,True,4
E5HTF,5,True,False,True,False,2
t8X%bA@!y$9t,12,True,True,True,True,5
Lyor7Tt9,8,True,True,True,False,4
XgDc9,5,True,True,True,False,3
TvofakFI,8,True,True,False,False,3
nyEj66,6,True,True,True,False,3
xNA$gj1p,8,True,True,True,True,5
Q00WFQy9%L9,11,True,True,True,True,5
o6G7A9,6,True,True,True,False,3
SMxFl0ti,8,True,True,True,False,4
CLcJT2b%,8,True,True,True,True,5
N!#gu,5,True,True,False,True,3
035oeU0,7,True,True,True,False,3
Pwqu1nqYrEX2,12,True,True,True,False,4
ad3kBWr1i7,10,True,True,True,False,4
II2bV5Qz,8,True,True,True,False,4
cV!ruo,6,True,True,False,True,3
